date,gold_usd,gold_jpy,audjpy,zarjpy,cadjpy,chfjpy,audusd,zarusd,cadusd,chfusd,jpy_per_usd,vix,usd_broad,eur_per_usd,gbp_per_usd,aud_per_usd,zar_per_usd,cad_per_usd,chf_per_usd
2011-10-14,1678.0,129810.08,79.64583547822505,9.886261980830671,76.2317698068585,86.59055294381017,1.0295480284155256,0.12779552715654952,0.9854158454867955,1.1193194537721065,77.36,28.24,90.2116,0.7214,0.6326,0.9713,7.825,1.0148,0.8934
2011-10-17,1682.0,129177.59999999999,78.64823348694316,9.6636593560077,75.64266719196296,85.53291012362178,1.0240655401945724,0.1258288978646836,0.984930562395351,1.1137097672346585,76.8,33.39,90.266,0.7262,0.6338,0.9765,7.9473,1.0153,0.8979
2011-10-18,1631.0,125179.25,78.43638221768012,9.551722421346078,75.50418101328087,85.16422547714158,1.0219724067450178,0.12445240939864596,0.9837678307919332,1.1096316023080337,76.75,31.56,90.5907,0.7289,0.6388,0.9785,8.0352,1.0165,0.9012
2011-10-19,1652.5,126895.475,78.88032871083719,9.577559649275978,75.75966850828729,85.11416537353138,1.027221366204417,0.12472404804370331,0.9865824782951854,1.108401684770561,76.79,34.44,90.3317,0.726,0.633,0.9735,8.0177,1.0136,0.9022
2011-10-20,1620.0,124594.2,78.35167074164629,9.342241117522017,75.28386844166013,85.43656965118862,1.0187449062754685,0.1214697843911327,0.9788566953797964,1.110864252388358,76.91,34.78,91.1026,0.7314,0.6359,0.9816,8.2325,1.0216,0.9002
2011-10-21,1642.5,124994.24999999999,78.60758186137795,9.475781347279291,75.42120911793856,85.9692724807953,1.0329511414110113,0.12451749470800647,0.9910802775024778,1.1296882060551288,76.1,31.32,90.279,0.7208,0.6272,0.9681,8.031,1.009,0.8852
2011-10-24,1652.0,125717.2,79.55258206146769,9.67159778353922,75.79681274900398,86.4379827351204,1.0453690152623876,0.12709064104519344,0.9960159362549801,1.1358473421172195,76.1,29.26,89.8558,0.7178,0.6255,0.9566,7.8684,1.004,0.8804
2011-10-25,1656.0,125657.28,79.27287923109067,9.61504346283484,74.81021394064872,86.28610416192859,1.0447137484329294,0.12671380420182976,0.9859016070196195,1.137138958380714,75.88,32.22,89.9525,0.7189,0.6252,0.9572,7.8918,1.0143,0.8794
2011-10-26,1715.0,130425.75,78.69412251655629,9.516242054156864,75.29702970297029,86.01968103155751,1.0347682119205297,0.12513138795735523,0.9900990099009901,1.1310937676733401,76.05,29.86,90.0836,0.7226,0.6287,0.9664,7.9916,1.01,0.8841
2011-10-27,1718.0,130224.4,81.00021372088052,9.85247286670566,76.24220478776905,88.04739226390986,1.068604402650139,0.12997985312276597,1.0058338362502515,1.1615750958299453,75.8,25.46,88.7882,0.7056,0.6219,0.9358,7.6935,0.9942,0.8609
2011-10-28,1741.0,131828.52,81.07066381156316,9.819101342151333,76.047002109069,87.79130434782608,1.070663811563169,0.12967645723918822,1.0043185698503565,1.1594202898550725,75.72,24.53,88.6382,0.706,0.62,0.934,7.7115,0.9957,0.8625
2011-10-31,1722.0,134264.34,82.72679045092838,9.892159350418675,78.50382601691503,89.55892487939352,1.0610079575596818,0.1268713524486171,1.0068465565847766,1.1486331265793706,77.97,29.96,89.2053,0.717,0.6195,0.9425,7.882,0.9932,0.8706
2011-11-01,1699.0,132997.72,80.64283506747708,9.665868174746253,76.74509803921569,87.94517469947198,1.0301844030081384,0.12347813202281877,0.9803921568627451,1.1234692731153804,78.28,34.77,90.7296,0.7312,0.6271,0.9707,8.0986,1.02,0.8901
2011-11-02,1743.0,136023.72,80.89561521716597,9.800203438359434,77.07654320987655,88.60127157129882,1.036591686534674,0.12557923421782974,0.9876543209876544,1.1353315168029063,78.04,32.74,90.244,0.7245,0.626,0.9647,7.9631,1.0125,0.8808
2011-11-03,1758.0,137053.68,80.70393374741201,9.917313318916168,76.97472353870458,88.24994340049807,1.0351966873706004,0.12721027859051012,0.9873617693522908,1.1319900384876613,77.96,30.5,90.2961,0.7276,0.6266,0.966,7.861,1.0128,0.8834
2011-11-04,1749.0,136719.33000000002,80.97161798218355,9.923198984449382,76.79536300225955,88.02927927927928,1.0358400662937641,0.12694382735639478,0.9824147755182238,1.1261261261261262,78.17,30.16,90.3154,0.7267,0.624,0.9654,7.8775,1.0179,0.888
2011-11-07,1782.0,139102.92,80.70719602977668,9.796686746987952,76.73252727808905,86.61784287616511,1.0339123242349049,0.12550200803212852,0.9829942003342179,1.1096316023080337,78.06,29.85,90.3832,0.7276,0.6241,0.9672,7.968,1.0173,0.9012
2011-11-08,1795.0,139633.05000000002,80.36987292075628,9.858066151311622,76.72354275569583,86.76109747936651,1.0331645831180907,0.12672665061462426,0.9862905611993293,1.115324559446799,77.79,27.48,90.172,0.7254,0.622,0.9679,7.891,1.0139,0.8966
2011-11-09,1784.0,138741.68,79.31667516573177,9.733173137092939,76.42492138364778,85.83885209713024,1.0198878123406425,0.12515331280819003,0.9827044025157232,1.1037527593818983,77.77,36.16,90.6991,0.7355,0.6266,0.9805,7.9902,1.0176,0.906
2011-11-10,1756.0,136230.48,78.64166244298023,9.703564727954971,76.14840989399293,85.64804592625303,1.0136847440446022,0.12507817385866166,0.9815469179426777,1.103996467211305,77.58,32.81,90.8588,0.7353,0.6275,0.9865,7.995,1.0188,0.9058
2011-11-14,1776.0,136787.52,78.50372031393334,9.635569789698872,75.687893081761,84.89858906525572,1.0192640913260627,0.12510477524927127,0.9827044025157232,1.1022927689594355,77.02,31.13,90.7215,0.7339,0.629,0.9811,7.9933,1.0176,0.9072
2011-11-15,1785.0,137427.15,78.09900588354635,9.389024390243902,75.2369784032053,83.89451890596055,1.0144045445323595,0.12195121951219513,0.9772305286817159,1.0896807235480004,76.99,31.22,91.1081,0.7394,0.6322,0.9858,8.2,1.0233,0.9177
2011-11-16,1756.0,135247.12,78.07399898631525,9.439419565164105,75.47280744732974,84.00043625259025,1.0136847440446022,0.12255803122778636,0.9799118079372857,1.0906314756243864,77.02,33.51,91.1237,0.7405,0.6341,0.9865,8.1594,1.0205,0.9169
2011-11-17,1742.5,134137.65,77.41351568785198,9.427122878346273,75.29342723004696,83.9751281771572,1.005631536604988,0.12246197555658966,0.9780907668231612,1.0908694229300753,76.98,34.51,91.1822,0.7395,0.6329,0.9944,8.1658,1.0224,0.9167
2011-11-18,1719.0,132242.67,77.20794861501406,9.377018807669337,74.98050682261209,83.99388579539252,1.0036130068245686,0.12189027437500762,0.9746588693957114,1.0918222513374822,76.93,32.0,91.3676,0.7396,0.6336,0.9964,8.2041,1.026,0.9159
2011-11-21,1702.0,131002.94,75.75041826591871,9.243425003002281,74.10937800885807,84.04673509499891,0.9841551028442083,0.12009126936471719,0.9628345850182939,1.0919414719371043,76.97,32.91,91.9978,0.7394,0.6385,1.0161,8.327,1.0386,0.9158
2011-11-22,1699.0,130941.93,75.76681085332284,9.202168306428502,74.31298814000579,84.27556041552761,0.9830908375933936,0.11940013372814978,0.9642271719217048,1.0934937124111537,77.07,31.97,92.0193,0.7407,0.6391,1.0172,8.3752,1.0371,0.9145
2011-11-23,1681.0,130126.20999999999,74.98062766369624,9.04999064721287,73.87155262906765,84.12301673549229,0.9686168151879117,0.11690983913206136,0.95428953144384,1.0867202782003913,77.41,33.98,92.7463,0.7492,0.6447,1.0324,8.5536,1.0479,0.9202
2011-11-25,1688.5,131128.91,75.61830574488803,9.133784181123199,74.05359015924478,83.60426310690063,0.9737098344693282,0.11761246692149369,0.9535615523982074,1.0765421466250404,77.66,34.47,93.1455,0.7551,0.6465,1.027,8.5025,1.0487,0.9289
2011-11-28,1714.0,133777.69999999998,77.45360722437233,9.311620138391792,75.57858042025758,84.69886055344547,0.992358836955443,0.11930326890956813,0.9683354313934347,1.0851871947911014,78.05,32.13,92.4983,0.75,0.6436,1.0077,8.382,1.0327,0.9215
2011-11-29,1717.0,133685.62,78.00040072129833,9.32109037363374,75.62160062160062,84.68566456384599,1.0018032458425166,0.11971603356837582,0.9712509712509712,1.0876658690450294,77.86,30.64,92.2163,0.7495,0.64,0.9982,8.3531,1.0296,0.9194
2011-11-30,1746.0,135454.68,79.47141979102643,9.548307692307691,76.06628100794195,85.19657368767845,1.024380249948781,0.12307692307692308,0.9804882831650161,1.0981770261366133,77.58,27.8,91.4728,0.7433,0.6367,0.9762,8.125,1.0199,0.9106
2011-12-01,1752.0,135955.19999999998,79.36183268562077,9.589125733704048,76.28784899724734,84.9480021893815,1.022704029453876,0.12357120790855732,0.9830908375933936,1.0946907498631637,77.6,27.41,91.227,0.7415,0.637,0.9778,8.0925,1.0172,0.9135
2011-12-02,1747.0,136056.36,79.59934587080947,9.690062335917183,76.61583866207575,84.47770907907581,1.0220768601798855,0.12442298839133517,0.9837678307919332,1.0847163466753444,77.88,27.52,91.3532,0.747,0.6414,0.9784,8.0371,1.0165,0.9219
2011-12-05,1744.0,135630.88,80.08444032540417,9.730615717628217,76.69625246548323,84.72600501143914,1.0297600659046442,0.12512042841234688,0.9861932938856016,1.0894432944765224,77.77,27.84,91.1087,0.7428,0.6374,0.9711,7.9923,1.014,0.9179
